"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0710555IH98",2,"533671013",1.00,293.18,N,,,,Z,,,,,,,,,"0710555IH98",,ef,,100.000,,,,0.00,,,,,,,9,N,N,,N,N,,,,,,,N,,,,,,293.18,293.18,293.18,,,,,,2025-07-10 17:29:14.379,Y,N,I,,0,,,25.80,,N
"0710571ID31",1,B211-86,1.00,57.73,N,,"01",DC,Z,,33.00,2025-07-10 13:35:47.652,2025-04-22 00:00:00.000,2025-04-22 00:00:00.000,,,,"0710571ID31",,lcd,,100.000,,,,0.00,,,,,,,1,N,N,,N,N,,,,,,lcd,,,,,,,57.12,57.12,57.12,,,,,,2025-07-10 13:34:49.852,Y,N,U,,0,TAG,,2.64,,N
"0710571II14",2,"637712249",1.00,700.00,N,,"71",FLOOR,Z,14.99,675.00,2025-07-10 18:35:10.111,2025-01-20 00:00:00.000,2025-01-20 00:00:00.000,,"71",FLOOR,"0710571II14",,msz,,100.000,,,,0.00,,,,,,,39,N,N,,N,N,,,,,,msz,N,,,,,,1499.00,1499.00,1499.00,,,,,,2025-07-10 17:46:19.050,Y,N,U,,0,COMP,,0.00,,N
"0710571II14A",4,SSMT5,1.00,79.99,N,,"71",FLOOR,G,,24.60,2025-07-10 18:34:02.916,2025-06-18 00:00:00.000,2025-06-18 00:00:00.000,,"71",FLOOR,"0710571II14",,msz,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,79.99,79.99,79.99,,,,,,2025-07-10 17:46:19.077,Y,N,U,,0,,,0.00,,N
"0710544IG47",3,JAC437630180658,1.00,705.96,N,,,,Z,,,,,,,,,"0710544IG47",JACK43763PC,mk,,100.000,,,,0.00,,,,,,,71,N,N,,N,N,,,,,,,N,,,,,,705.96,708.49,708.49,,,,,,2025-07-10 15:51:38.121,Y,N,I,,0,,,0.00,,N
"0710530IF37",7,"034710095",1.00,143.59,N,,,,Z,,,,,,,,,"0710530IF37",,jec,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,jec,N,,,,,,242.00,242.00,242.00,,,,,,2025-07-10 15:14:25.376,Y,N,I,,0,COMP,,9.68,,N
"0710530IB98",5,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710530IB98",,aeg,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 12:08:03.795,Y,N,I,,0,,,0.00,,N
"0710521IG77",3,"938431848",1.00,3248.22,N,,"03",DOCK13,Z,,1025.00,2025-07-10 16:34:06.445,2025-07-09 00:00:00.000,2025-07-09 00:00:00.000,,,,"0710521IG77",,lwe,,100.000,,,,0.00,,,,,,,54,N,N,,N,N,,,,,,lwe,N,,,,,,2752.73,2752.73,2752.73,,,,,,2025-07-10 16:33:42.155,Y,N,U,,0,"60MONTH",,102.50,,N
"0710521IG23",8,"035173485",1.00,295.56,N,,"01",DC,Z,,115.00,2025-07-10 16:33:03.882,2025-01-15 00:00:00.000,2025-01-15 00:00:00.000,,,,"0710521IG23",,djs,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,295.56,295.56,295.56,,,,,,2025-07-10 16:33:03.550,Y,N,U,,0,,,9.22,,N
"0710521IB78",2,"541484087",1.00,998.40,N,,,,Z,,,,,,,,,"0710521IB78",,awd,,100.000,,,,0.00,,,,,,,36,N,N,,N,N,,,,,,,N,,,,,,998.40,998.40,998.40,,,,,,2025-07-10 11:52:37.059,Y,N,U,,0,,,111.82,,N
